Sl No.,Zone Name,Assembly,Ward No,Ward Name,Park Name,,Area in,Remarks,
,,Constituency,,,,,(Sq.ft),,
,,,,,Gelayara balaga Part-1 (3) Gelayara,,good condition.,,
,,,,,Balaga part- 2.,,,,
160,Dasarahalli,Dasarahalli,70,Rajagopalanagar,GKW,53889,Park Maintained in,,
,,,,,,,Good condition.,,
161,Dasarahalli,Dasarahalli,39,Chokkasandra,"HMT Layout park, part-8",3303,,,
162,Dasarahalli,Dasarahalli,39,Chokkasandra,"HMT Layout park, part-1",2447,,,
163,Dasarahalli,Dasarahalli,39,Chokkasandra,"HMT Layout park, part-2",0,,,
164,Dasarahalli,Dasarahalli,39,Chokkasandra,"HMT Layout, park, part-3,",1909,,,
165,Dasarahalli,Dasarahalli,39,Chokkasandra,"HMT Layout, park, part-3,",1909,,,
166,Dasarahalli,Dasarahalli,39,Chokkasandra,"Gruhalakshmi Layout park, part-4",3743,,,
167,Dasarahalli,Dasarahalli,39,Chokkasandra,"HMT Layout 4th Block, 35, 6&7 th",3515,,,
,,,,,Cross park,,,,
168,Dasarahalli,Dasarahalli,41,Peenya Industrial,Gruhalakshmi Layout park 3,2957,,,
,,,,Area,,,,,
169,Dasarahalli,Dasarahalli,41,Peenya Industrial,Duggalamma Layout park,702,,,
,,,,Area,,,,,
170,Dasarahalli,Dasarahalli,41,Peenya Industrial,Gruhalakshmi Layout park part-5,817,,,
,,,,Area,,,,,
171,Dasarahalli,Dasarahalli,39,Chokkasandra,"HMT layout park, Part-7",1568,,,
172,Dasarahalli,Dasarahalli,39,Chokkasandra,HMT Layout park part-6,746,,,
173,Dasarahalli,Dasarahalli,39,Chokkasandra,"HMT Layout park, part-5",975,,,
174,Dasarahalli,Dasarahalli,39,Chokkasandra,"HMT Layout, Makkala Udyanavana",6721,,,
175,Dasarahalli,Dasarahalli,13,Mallasandra,Muthuraya swamy temple park,,593,,
176,RajarajeshwariN,Rajarajeshwari Nagar,160,Rajarajeshwarinagar,Maintenance of,,33368.12,,
,agar,,,,Javaregowdanadoddo park,,,,
177,RajarajeshwariN,Rajarajeshwari Nagar,129,Jnanabharathi ward,"Maintenance of ""D"" group Ganesha",,28309.08,,
,agar,,,,Temple Park,,,,
178,RajarajeshwariN,Rajarajeshwari Nagar,160,Rajarajeshwarinagar,Boat Club Park at BEML Layout in,,19375.03,,
,agar,,,,Rajarajeswarinagar.,,,,
179,RajarajeshwariN,Rajarajeshwari Nagar,160,Rajarajeshwarinagar,"Panthara Palya Pramod Layout Park,",,0,,
,agar,,,,RRN Zone,,,,
180,RajarajeshwariN,Rajarajeshwari Nagar,160,Rajarajeshwarinagar,"Ideal Homes Layout Park, RR Nagar",,82279.33,,
,agar,,,,,,,,
181,RajarajeshwariN,Rajarajeshwari Nagar,160,Rajarajeshwarinagar,"Ideal Homes Layout Park, RR Nagar",,53819.55,,
,agar,,,,,,,,
182,RajarajeshwariN,Rajarajeshwari Nagar,160,Rajarajeshwarinagar,"Dooravani Employees Layout Park,",,31753.53,,
,agar,,,,"Stage 2,",in RR Nagar Zone.,,,
183,RajarajeshwariN,Yashwanthapura,198,Hemmigepura,BCMC Layout Park,at,19375.03,,
,agar,,,,Raghuvanahalli - 4,,,,
184,RajarajeshwariN,Yashwanthapura,198,Hemmigepura,BCMC Layout Park,at,24756.99,,
,agar,,,,Raghuvanahalli - 5,,,,
185,RajarajeshwariN,Yashwanthapura,198,Hemmigepura,BCMC Layout Park,at,23142.4,,
,agar,,,,Raghuvanahalli - 6,,,,
186,RajarajeshwariN,Yashwanthapura,130,Ullalu,"Rajarajeswari Layout Park, in",,336609,,
,agar,,,,Nagadevanahalli,,,,
187,RajarajeshwariN,Yashwanthapura,130,Ullalu,Railway Employees mens RHCS 1st,,64583.46,,
,agar,,,,Stage Ullal Park,,,,
188,RajarajeshwariN,Yashwanthapura,130,Ullalu,Railway Employees mens RHCS 1st,,66736.24,,
,agar,,,,Stage Ullal Park,,,,
189,RajarajeshwariN,Yashwanthapura,130,Ullalu,Gavipuram Guttahalli Society Layout,,54982.05,,
,agar,,,,"Park-1,2,3",,,,
190,RajarajeshwariN,Yashwanthapura,130,Ullalu,"Ullal AGS Layout Park, 2",,32291.73,,
,agar,,,,,,,,
191,RajarajeshwariN,Yashwanthapura,130,Ullalu,"Ullal AGS Layout Park, 3",,18298.64,,
,agar,,,,,,,,
192,RajarajeshwariN,Yashwanthapura,130,Ullalu,Ullal Upnagar Park near Kuvempu,,25833.38,,
,agar,,,,School.,,,,
